MsgID.STATE,1529058544.8144209,False,False
MsgID.LOCAL_VELOCITY,1529058558.1776588,-0.0491102,-0.0413516,2.0450478
MsgID.GLOBAL_POSITION,1529058558.4255669,-122.3973375,37.7925723,0.6660000
MsgID.LOCAL_VELOCITY,1529058558.4255669,-0.0500000,-0.0300000,2.0100000
MsgID.LOCAL_POSITION,1529058558.4276910,10.2614031,9.9980545,-0.6665863
MsgID.LOCAL_VELOCITY,1529058558.4276910,-0.0518967,-0.0350512,2.0184283
MsgID.GLOBAL_POSITION,1529058558.6763740,-122.3973362,37.7925721,0.1570000
MsgID.LOCAL_VELOCITY,1529058558.6763740,-0.0500000,-0.0100000,2.0400000
MsgID.LOCAL_POSITION,1529058558.6765790,10.2419348,10.1106100,-0.1571096
MsgID.LOCAL_VELOCITY,1529058558.6765790,-0.0500199,-0.0196005,2.0434816
MsgID.STATE,1529058558.9161179,True,True
MsgID.GLOBAL_HOME,1529058558.9163678,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058558.9264209,-122.3973372,37.7925729,0.0930000
MsgID.LOCAL_VELOCITY,1529058558.9264209,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058558.9266140,10.3256569,10.0200691,-0.0938019
MsgID.LOCAL_VELOCITY,1529058558.9266140,0.0000123,0.0000084,0.0000122
MsgID.GLOBAL_POSITION,1529058559.1755321,-122.3973370,37.7925731,0.0930000
MsgID.LOCAL_VELOCITY,1529058559.1755321,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058559.1776619,10.3504448,10.0406351,-0.0937450
MsgID.LOCAL_VELOCITY,1529058559.1776619,0.0000010,0.0000310,0.0000060
MsgID.GLOBAL_POSITION,1529058559.4262779,-122.3973358,37.7925719,0.0880000
MsgID.LOCAL_VELOCITY,1529058559.4262779,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058559.4265170,10.2199697,10.1431684,-0.0883483
MsgID.LOCAL_VELOCITY,1529058559.4265170,-0.0003835,0.0003753,0.0000327
MsgID.GLOBAL_POSITION,1529058559.6766210,-122.3973360,37.7925716,0.0770000
MsgID.LOCAL_VELOCITY,1529058559.6766210,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058559.6787469,10.1812191,10.1272068,-0.0773699
MsgID.LOCAL_VELOCITY,1529058559.6787469,-0.0003787,0.0001437,0.0000014
MsgID.STATE,1529058559.9178319,True,True
MsgID.GLOBAL_HOME,1529058559.9180381,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058559.9266949,-122.3973354,37.7925716,0.0620000
MsgID.LOCAL_VELOCITY,1529058559.9266949,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1529058559.9287128,10.1812181,10.1797695,-0.0627565
